,SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
2,11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,329.0,The Redd Collection,"1990Barbaresco,Angelo Gaja",USA
6,11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,175.0,The Redd Collection,"2010Barbaresco,Angelo Gaja",USA
18,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,304.0,The Redd Collection,"2009Barbaresco,Costa Russi,Angelo Gaja",USA
22,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,359.99,Lynnway Liquor Mart,Gaja Costa Russi Barbaresco20092009750ml,USA
23,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,379.0,The Old & Rare Wine Company,Angelo Gaja Costa Russi Langhe2009,USA
24,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,379.98,Wine House,2009Angelo Gaja Langhe Costa Russi750ml,USA
28,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,799.99,Wine Anthology,2009Gaja Costa Russi,USA
32,11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,1849.0,Italian Wine Merchants,Gaja Costa Russi20093L,USA
36,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,329.0,IronGate.Wine,2000Gaja Sori San Lorenzo-750mL,USA
37,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,339.0,SommPicks,2000Gaja Langhe Nebbiolo Sori San Lorenzo,USA
39,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,348.0,The Redd Collection,"2000Barbaresco,Sori San Lorenzo,Angelo Gaja",USA
40,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,348.0,Westgarth Wines,"2000Gaja,Sori San Lorenzo",USA
41,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,358.95,Vickers Wine On-line,Gaja Sori San Lorenzo2000,USA
42,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,379.0,Sokolin & Co.,2000Gaja Barbaresco Sori San Lorenzo,USA
44,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,700.0,Vinfolio,2000Gaja-Langhe Sori San Lorenzo1.5L,USA
49,11334,"Barbaresco,Sori San Lorenzo,Angelo Gaja",2000,750ml,https://www.wine-searcher.com/find/barbaresco+sori+st+lorenzo+angelo+gaja/2000/-/-/u,4175.0,Westgarth Wines,"2000Gaja,Sori San Lorenzo",USA
52,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,304.0,The Redd Collection,"2009Barbaresco,Sori Tildin,Angelo Gaja",USA
53,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,315.0,Westgarth Wines,"2009Gaja,Sori Tildin",USA
56,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,449.97,Artisan Wine Depot,"Gaja""Sori Tildin""LangheD.O.C.2009(Piedmont,Italy)-[AG96][WE95][JS95][WS93]",USA
58,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,459.99,Lynnway Liquor Mart,Gaja Sori Tildin Barbaresco20092009750ml,USA
66,11335,"Barbaresco,Sori Tildin,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+sori+tildin+angelo+gaja/2009/-/-/u,3775.0,Westgarth Wines,"2009Gaja,Sori Tildin",USA
